name,description,category,status,failure_reason,year,source
10BestThings,Curated Web,Curated Web,failed,,2009-04-01,crunchbase
11i Solutions,Enterprise Software,Enterprise Software,failed,,,crunchbase
169 ST.,Entertainment|Games,Entertainment|Games,failed,,2009-05-15,crunchbase
180Solutions,Advertising|Advertising Platforms|Promotional,Advertising|Advertising Platforms|Promotional,failed,,,crunchbase
1bib,Cars|Curated Web,Cars|Curated Web,failed,,2006-01-01,crunchbase
One Block Off the Grid (1BOG),Clean Technology|Residential Solar,Clean Technology|Residential Solar,failed,,2008-11-01,crunchbase
1C Company,Games|Software|Video Games,Games|Software|Video Games,failed,,1991-01-01,crunchbase
1Cast,Content|Lifestyle|News|Video,Content|Lifestyle|News|Video,failed,,2006-06-01,crunchbase
1DayLater,Curated Web|Tracking,Curated Web|Tracking,failed,,2009-08-26,crunchbase
1DayMakeover,Cosmetics|E-Commerce|Fashion|Lifestyle|Personal Health|Shopping,Cosmetics|E-Commerce|Fashion|Lifestyle|Personal Health|Shopping,failed,,2008-06-30,crunchbase
2100b Sausalito LLC.,Advertising|Direct Marketing|Social Media,Advertising|Direct Marketing|Social Media,failed,,2011-06-15,crunchbase
22seeds,Android|Apps|Internet|iPhone|Mobile|Sales and Marketing|Software|Web Development|Web Tools,Android|Apps|Internet|iPhone|Mobile|Sales and Marketing|Software|Web Development|Web Tools,failed,,2010-01-01,crunchbase
24h00,Advertising|E-Commerce|Marketing Automation,Advertising|E-Commerce|Marketing Automation,failed,,2006-01-01,crunchbase
25eight,DIY|Electronics|Software,DIY|Electronics|Software,failed,,,crunchbase
27 Perry,E-Commerce|Finance|Marketplaces,E-Commerce|Finance|Marketplaces,failed,,2012-07-25,crunchbase
2mee,Content|Software|Sports,Content|Software|Sports,failed,,,crunchbase
2pm Technologies,SaaS|Technology|Telecommunications,SaaS|Technology|Telecommunications,failed,,1999-11-23,crunchbase
2Win-Solutions,Collaboration|Networking|Project Management|SaaS|Software|Task Management,Collaboration|Networking|Project Management|SaaS|Software|Task Management,failed,,,crunchbase
3ClickEMR Corporation,Consumer Electronics|Electronic Health Records|Health Care|iPad|Software,Consumer Electronics|Electronic Health Records|Health Care|iPad|Software,failed,,2010-06-23,crunchbase
3DDUO,Business Services|Video Games,Business Services|Video Games,failed,,,crunchbase
3DPhy.com,Creative|Digital Media,Creative|Digital Media,failed,,2013-11-21,crunchbase
3i Systems,Semiconductors,Semiconductors,failed,,2006-11-01,crunchbase
42Race,Online Travel|Sports|Travel,Online Travel|Sports|Travel,failed,,2015-05-01,crunchbase
59sec,Advertising|Lead Management|Sales and Marketing,Advertising|Lead Management|Sales and Marketing,failed,,2015-08-22,crunchbase
7 Billion People,Analytics|E-Commerce|Software,Analytics|E-Commerce|Software,failed,,2006-01-01,crunchbase
77 Pieces,Curated Web,Curated Web,failed,,2010-05-25,crunchbase
80/20 Solutions,Advertising|Email|Loyalty Programs|Mobile|SaaS|Sales and Marketing|Social Media|Software,Advertising|Email|Loyalty Programs|Mobile|SaaS|Sales and Marketing|Social Media|Software,failed,,,crunchbase
8aweek,Curated Web|Task Management,Curated Web|Task Management,failed,,2008-01-01,crunchbase
8D World,Games|Virtual Worlds,Games|Virtual Worlds,failed,,,crunchbase
